employee_id,employee_name,department,role,join_date
E1001,Employee_01,HR,Manager,2019-10-18
E1002,Employee_02,Operations,Executive,2023-08-22
E1003,Employee_03,Operations,Specialist,2023-02-24
E1004,Employee_04,Sales,Executive,2024-05-23
E1005,Employee_05,Sales,Analyst,2020-04-17
E1006,Employee_06,Operations,Analyst,2025-01-30
E1007,Employee_07,Operations,Coordinator,2025-11-02
E1008,Employee_08,HR,Specialist,2020-04-24
E1009,Employee_09,Finance,Executive,2023-11-02
E1010,Employee_10,Sales,Manager,2019-09-07
E1011,Employee_11,Finance,Executive,2023-06-08
E1012,Employee_12,Sales,Specialist,2020-08-11
E1013,Employee_13,HR,Analyst,2025-07-01
E1014,Employee_14,Sales,Coordinator,2025-04-16
E1015,Employee_15,IT,Specialist,2024-04-15
E1016,Employee_16,Sales,Coordinator,2025-04-27
E1017,Employee_17,Operations,Manager,2022-02-20
E1018,Employee_18,HR,Executive,2025-02-24
E1019,Employee_19,Operations,Executive,2022-10-29
E1020,Employee_20,Sales,Manager,2024-09-06
E1021,Employee_21,Operations,Manager,2020-10-20
E1022,Employee_22,HR,Specialist,2022-01-17
E1023,Employee_23,Finance,Executive,2021-06-22
E1024,Employee_24,HR,Coordinator,2019-11-26
E1025,Employee_25,HR,Specialist,2021-02-23
E1026,Employee_26,IT,Coordinator,2019-02-27
E1027,Employee_27,Sales,Manager,2025-01-04
E1028,Employee_28,HR,Executive,2020-10-16
E1029,Employee_29,Finance,Manager,2020-09-25
E1030,Employee_30,Sales,Manager,2023-04-05
E1031,Employee_31,HR,Specialist,2019-09-29
E1032,Employee_32,Sales,Coordinator,2023-02-10
E1033,Employee_33,HR,Manager,2023-06-28
E1034,Employee_34,HR,Specialist,2023-11-30
E1035,Employee_35,IT,Coordinator,2021-08-07
E1036,Employee_36,Finance,Analyst,2019-09-12
E1037,Employee_37,Finance,Executive,2020-03-03
E1038,Employee_38,Sales,Manager,2023-07-30
E1039,Employee_39,Sales,Coordinator,2025-01-21
E1040,Employee_40,Operations,Coordinator,2022-08-18
E1041,Employee_41,IT,Specialist,2020-11-13
E1042,Employee_42,Sales,Specialist,2024-09-14
E1043,Employee_43,Operations,Executive,2022-12-23
E1044,Employee_44,Sales,Analyst,2024-05-16
E1045,Employee_45,Sales,Analyst,2025-07-01
E1046,Employee_46,HR,Coordinator,2025-06-26
E1047,Employee_47,HR,Specialist,2021-09-11
E1048,Employee_48,Operations,Analyst,2023-06-07
E1049,Employee_49,HR,Manager,2022-10-03
E1050,Employee_50,IT,Coordinator,2020-04-14
E1051,Employee_51,Sales,Coordinator,2023-10-26
E1052,Employee_52,IT,Coordinator,2021-01-12
E1053,Employee_53,IT,Specialist,2019-02-21
E1054,Employee_54,HR,Executive,2025-04-14
E1055,Employee_55,IT,Executive,2019-11-14
E1056,Employee_56,Operations,Analyst,2020-03-17
E1057,Employee_57,HR,Specialist,2020-10-15
E1058,Employee_58,Finance,Coordinator,2023-03-02
E1059,Employee_59,HR,Specialist,2020-03-21
E1060,Employee_60,Finance,Coordinator,2025-07-21
