employee_id,quarter,performance_score,target_score,projects_completed,training_hours,achievement_status
E1001,Q1,66.7,76.5,5,9.5,Needs Improvement
E1001,Q2,67.1,83.5,7,8.7,Needs Improvement
E1001,Q3,70.4,76.0,5,10.9,Needs Improvement
E1001,Q4,76.9,85.0,5,6.7,Needs Improvement
E1002,Q1,89.7,83.9,7,8.7,Met
E1002,Q2,90.0,76.0,7,9.3,Met
E1002,Q3,86.5,80.0,5,6.4,Met
E1002,Q4,82.2,78.0,5,6.2,Met
E1003,Q1,94.7,77.6,5,3.0,Met
E1003,Q2,85.7,86.2,5,7.1,Needs Improvement
E1003,Q3,92.5,77.7,7,8.9,Met
E1003,Q4,95.8,86.5,5,4.5,Met
E1004,Q1,72.8,72.4,6,12.6,Met
E1004,Q2,79.0,76.5,6,11.2,Met
E1004,Q3,70.1,89.1,6,12.0,Needs Improvement
E1004,Q4,63.8,68.9,5,6.1,Needs Improvement
E1005,Q1,82.5,84.1,6,11.6,Needs Improvement
E1005,Q2,78.0,75.6,6,6.7,Met
E1005,Q3,86.5,78.3,6,8.2,Met
E1005,Q4,79.9,82.6,5,7.3,Needs Improvement
E1006,Q1,77.5,81.6,6,5.0,Needs Improvement
E1006,Q2,71.3,80.2,4,6.7,Needs Improvement
E1006,Q3,85.3,83.1,6,12.3,Met
E1006,Q4,83.8,83.9,7,0.0,Needs Improvement
E1007,Q1,73.8,75.7,5,14.4,Needs Improvement
E1007,Q2,68.6,87.1,5,13.1,Needs Improvement
E1007,Q3,67.9,82.6,5,11.3,Needs Improvement
E1007,Q4,67.6,86.3,5,4.1,Needs Improvement
E1008,Q1,66.1,81.1,4,8.8,Needs Improvement
E1008,Q2,62.7,79.5,5,11.5,Needs Improvement
E1008,Q3,73.3,76.5,5,8.1,Needs Improvement
E1008,Q4,71.5,78.0,6,12.9,Needs Improvement
E1009,Q1,80.3,81.2,6,8.4,Needs Improvement
E1009,Q2,82.8,81.8,8,14.5,Met
E1009,Q3,87.5,85.1,6,10.8,Met
E1009,Q4,83.3,87.0,9,7.0,Needs Improvement
E1010,Q1,80.5,81.2,7,9.0,Needs Improvement
